source_excel_row,brand,inferred_brand_method,tsw_supplier_sku,manufacturer_part_number,Categaory,prod,countryoforigin,tariffcd,eccnclasscd,Prod Description,Stocking Unit,Selling Unit,Selling_Conv,weight,Length,Width,Height,Pack Qty,BOX Qty,CASE Qty,CTN Qty,PLT Qty,All_Barcodes,UPC_List
4679,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050129,050129,AUTOMATIC TT PARTS,TTT050129,US,8205595560,,TOGGLE ARM BUSHING,EACH,EACH,1,0.001,0.5,0.5,0.1,,,,,,,
4680,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050130,050130,AUTOMATIC TT PARTS,TTT050130,,,,TOGGLE ARM BUSHING,EACH,EACH,1,0.001,,,,,,,,,,
4681,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050134,050134,AUTOMATIC TT PARTS,TTT050134,US,8205595560,,SPRING CATCHER,EACH,EACH,1,0.002,0.75,0.25,0.25,,,,,,,
4682,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050135,050135,AUTOMATIC TT PARTS,TTT050135,US,8205595560,,BRAKE BRACKET,EACH,EACH,1,0.075,1.5,0.5,0.75,,,,,,,
4683,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050136,050136,AUTOMATIC TT PARTS,TTT050136,US,8205595560,,CABLE DRUM,EACH,EACH,1,0.225,2,2,1.5,,,,,,,
4684,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050138,050138,AUTOMATIC TT PARTS,TTT050138,US,8205595560,,TAPE GUIDE COLLAR,EACH,EACH,1,0.003,0.75,0.75,0.5,,,,,,,
4685,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050139,050139,AUTOMATIC TT PARTS,TTT050139,,,,TENSION PLATE,EACH,EACH,1,0.073,,,,,,,,,,
4686,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050140,050140,AUTOMATIC TT PARTS,TTT050140,US,8205595560,,TENSION RELEASE CAM,EACH,EACH,1,0.023,1.3,0.3,0.25,,,,,,,
4687,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050141,050141,AUTOMATIC TT PARTS,TTT050141,,,,BRAKE ROLLER SHAFT,EACH,EACH,1,0.005,,,,,,,,,,
4688,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050143,050143,AUTOMATIC TT PARTS,TTT050143,US,8205595560,,TENSION PLATE SPRING,EACH,EACH,1,0.017,3.5,0.25,0.25,,,,,,,
4689,TapeTech,prod starts with TTT and Categaory contains PARTS,TTT050144,050144,AUTOMATIC TT PARTS,TTT050144,US,8205595560,,NUT TAPETECH,EACH,EACH,1,0.004,0.5,0.5,0.1,,,,,,,
