sku,name,brand,dtb_price,map_price,competitor_count,site_count,market_low,market_high,market_mean,market_median,market_spread_pct,dtb_vs_market_median,dtb_vs_market_median_pct,market_position,map_floor_status,lowest_competitor,lowest_competitor_url
6BH,Columbia 180° Grip Flat Box Handle - 6',Columbia Tools,232.52,232.52,1,1,232.52,232.52,232.52,232.52,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-72-180-grip-featherweight-flat-box-handle/
7CFB,"Columbia Throttle Corner Flusher Box - 7""",Columbia Tools,313.64,313.64,2,2,313.64,313.99,313.82,313.82,0.11,-0.18,-0.06,market_aligned,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-7-throttlebox-angle-box/
7FFB,"Columbia Flat Finisher Box - 7""",Columbia Tools,378.53,378.53,1,1,378.53,378.53,378.53,378.53,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-drywall-taping-tools-7-hinged-flat-finisher-box/
8CFB,"Columbia Throttle Corner Flusher Box - 8""",Columbia Tools,324.82,324.45,2,2,324.45,324.99,324.72,324.72,0.17,0.10,0.03,market_aligned,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-8-throttlebox-angle-box/
8FBB,"Columbia Fat Boy Flat Box - 8""",Columbia Tools,443.42,443.42,3,2,443.42,443.99,443.80,443.99,0.13,-0.57,-0.13,market_aligned,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-8-fat-boy-drywall-flat-finishing-box/
8FBBA,"Columbia Automatic Fat Boy Box - 8""",Columbia Tools,481.27,481.27,1,1,481.27,481.27,481.27,481.27,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-8-fat-boy-automatic-assist-drywall-flat-box/
8FFB,"Columbia Flat Finisher Box - 8""",Columbia Tools,389.34,389.34,1,1,389.34,389.34,389.34,389.34,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-8-drywall-flat-finisher-box/
8FFBA,"Columbia Automatic Flat Box - 8""",Columbia Tools,421.79,421.79,2,2,421.99,431.93,426.96,426.96,2.36,-5.17,-1.21,market_aligned,at_or_above_map,All-Wall,https://www.all-wall.com/Columbia-8in-Automatic-Assist-Flat-Box
AH1-2,"Head Casting - 2""",Columbia Tools,153.00,,1,1,175.48,175.48,175.48,175.48,0.00,-22.48,-12.81,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH1-2-Columbia-Angle-Head-Body-Casting-2in-5797
AH1-2.5,"Head Casting - 2.5""",Columbia Tools,173.85,,1,1,175.48,175.48,175.48,175.48,0.00,-1.63,-0.93,single_source_only,no_map,All-Wall,https://www.all-wall.com/AH1-2-5-Columbia-Angle-Head-Body-Casting-2-5in-5798
AH1-3,"Head Casting - 3""",Columbia Tools,153.00,,0,0,,,,,,,,no_market_data,no_map,,
