sku,name,brand,dtb_price,map_price,competitor_count,site_count,market_low,market_high,market_mean,market_median,market_spread_pct,dtb_vs_market_median,dtb_vs_market_median_pct,market_position,map_floor_status,lowest_competitor,lowest_competitor_url
CC,Columbia Corner Cobra,Columbia Tools,401.00,367.71,2,2,367.70,367.71,367.70,367.70,0.00,33.30,9.05,above_market_median,at_or_above_map,Wall Tools,https://walltools.com/columbia-taping-tools-corner-cobra-COLM-cc/
CEXT90,Columbia Billet Mud Applicator - External 90,Columbia Tools,127.62,127.62,1,1,127.62,127.62,127.62,127.62,0.00,0.00,0.00,single_source_only,at_or_above_map,Al's Taping Tools,https://www.alstapingtools.com/columbia-outside-90-corner-applicator-head/
CFB10,"5/16-18 x 3/4"" Thumb Screw",Columbia Tools,6.00,,1,1,7.30,7.30,7.30,7.30,0.00,-1.30,-17.81,single_source_only,no_map,All-Wall,https://www.all-wall.com/CFB10-Columbia-Angle-Box-5-16-18-X-3-4in-Thumb-Screw-5550
CFB11A,Door Stop,Columbia Tools,3.00,,1,1,3.68,3.68,3.68,3.68,0.00,-0.68,-18.48,single_source_only,no_map,All-Wall,https://www.all-wall.com/CFB11A-Columbia-Angle-Box-Door-Stop-5551
CFB15,Door Hinge,Columbia Tools,24.95,,1,1,30.10,30.10,30.10,30.10,0.00,-5.15,-17.11,single_source_only,no_map,All-Wall,https://www.all-wall.com/CFB15-Columbia-Angle-Box-Door-Hinge-5552
CFB15A,Hinge Bushing (Plastic Washer),Columbia Tools,8.50,,1,1,2.75,2.75,2.75,2.75,0.00,5.75,209.09,single_source_only,no_map,All-Wall,https://www.all-wall.com/CFB15A-Columbia-Angle-Box-Hinge-Bushing-5553
CFB16,Bearing Sleeve,Columbia Tools,18.75,,1,1,7.28,7.28,7.28,7.28,0.00,11.47,157.55,single_source_only,no_map,All-Wall,https://www.all-wall.com/CFB16-Columbia-Angle-Box-Bearing-Sleeve-Ss-5554
CFB3-7,"Side Plate - 7""",Columbia Tools,40.00,,1,1,43.84,43.84,43.84,43.84,0.00,-3.84,-8.76,single_source_only,no_map,All-Wall,https://www.all-wall.com/CFB3-7-Columbia-Angle-Box-Side-Plate-7in-5540
CFB3-8,"Side Plate - 8""",Columbia Tools,40.00,,1,1,43.84,43.84,43.84,43.84,0.00,-3.84,-8.76,single_source_only,no_map,All-Wall,https://www.all-wall.com/CFB3-8-Columbia-Angle-Box-Side-Plate-8in-5541
CFB4-7,"Door - 7""",Columbia Tools,42.50,,0,0,,,,,,,,no_market_data,no_map,,
