dtb_sku,dtb_name,dtb_brand,dtb_price,dtb_map_price,competitor_site,competitor_title,competitor_brand,competitor_sku,competitor_mpn,competitor_gtin,competitor_url,competitor_price,competitor_regular_price,competitor_sale_price,currency,availability,variant,match_method,match_score,price_delta,price_delta_pct
PT-OCA,Platinum 90° Corner Applicator - Outside,Platinum Drywall Tools,59.00,,Al's Taping Tools,Platinum Drywall Tools Outside 90 Degree Applicator Mud Head,,PT-OCA,,,https://www.alstapingtools.com/platinum-drywall-tools-outside-90-degree-applicator-mud-head/,45.00,69.00,45.00,USD,,,sku_exact,97.0,-14.00,-23.73
PT-TP,Platinum Semi Automatic Drywall Taper,Platinum Drywall Tools,145.00,,Al's Taping Tools,Platinum Drywall Tools Semi Automatic Super Taper,,PT-TP,,,https://www.alstapingtools.com/platinum-drywall-tools-semi-automatic-super-taper/,85.00,145.00,85.00,USD,,,sku_exact,97.0,-60.00,-41.38
S1X-M-2131,"SurPro S1X Magnesium Drywall Stilts - 21""-31""",SurPro,430.00,,Al's Taping Tools,"SurPro S1X Single Sided Magnesium 20""-30"" Drywall Stilts",Sur Pro,S1X-M-2131,,,https://www.alstapingtools.com/surpro-s1x-single-sided-magnesium-20-30-drywall-stilts/,400.00,400.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-30.00,-6.98
S1X-M-2640,"SurPro S1X Magnesium Drywall Stilts - 26""-40""",SurPro,441.00,,Al's Taping Tools,"SurPro S1X Single Sided Magnesium 26""-40"" Drywall Stilts",Sur Pro,S1X-M-2640,,,https://www.alstapingtools.com/surpro-s1x-single-sided-magnesium-26-40-drywall-stilts/,400.00,400.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-41.00,-9.30
S2X-M-2131,"SurPro S2X Magnesium Drywall Stilts - 21""-31""",SurPro,479.00,,Al's Taping Tools,"SurPro S2X Magnesium Stilts 21""-31""",Sur Pro,S2X-M-2131,,,https://www.alstapingtools.com/surpro-s2x-magnesium-stilts-21-31/,450.00,450.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-29.00,-6.05
S2X-M-2640,"SurPro S2X Magnesium Drywall Stilts - 26""-40""",SurPro,490.00,,Al's Taping Tools,"SurPro S2X Magnesium Stilts 26""-40""",Sur Pro,S2X-M-2640,,,https://www.alstapingtools.com/surpro-s2x-magnesium-stilts-26-40/,460.00,460.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-30.00,-6.12
03TT,"TapeTech EasyClean® Automatic Taper - Mini-Taper 40.5""",TapeTech,1775.00,1775.00,Al's Taping Tools,TapeTech EasyClean Automatic Mini-Taper - 03TT,TapeTech,03TT,,,https://www.alstapingtools.com/tapetech-easyclean-automatic-mini-taper-03tt/,1775.00,1775.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
07TT,TapeTech EasyClean® Automatic Taper - Standard,TapeTech,1672.12,1599.00,Al's Taping Tools,TapeTech Automatic Taper Extension for 07TT Taper,TapeTech,ATX01TT,,,https://www.alstapingtools.com/tapetech-automatic-taper-extension-for-07tt-taper/,399.00,399.00,,USD,,,brand_name_fuzzy,96.0,-1273.12,-76.14
07TT,TapeTech EasyClean® Automatic Taper - Standard,TapeTech,1672.12,1599.00,Al's Taping Tools,TapeTech Easy Clean Automatic Taper,TapeTech,07TT,,,https://www.alstapingtools.com/tapetech-easy-clean-automatic-taper/,1599.00,1599.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-73.12,-4.37
07TT-C,TapeTech EasyClean® Automatic Taper - Carbon Fiber,TapeTech,1816.18,1780.00,Al's Taping Tools,TapeTech Carbon Fiber Automatic Taper,TapeTech,07TT-C,,,https://www.alstapingtools.com/tapetech-carbon-fiber-automatic-taper/,1780.00,1780.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-36.18,-1.99
15TTE,TapeTech Corner Roller - Inside Corner,TapeTech,189.00,189.00,Al's Taping Tools,TapeTech Inside Corner Roller,TapeTech,15TTE,,,https://www.alstapingtools.com/tapetech-inside-corner-roller/,189.00,189.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
16TT,TapeTech Applicator Head - Outside Corner,TapeTech,85.43,85.00,Al's Taping Tools,TapeTech 90 Outside Corner Applicator Head,TapeTech,16TT,,,https://www.alstapingtools.com/tapetech-90-outside-corner-applicator-head/,85.00,85.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-0.43,-0.50
16TT90,TapeTech Applicator Head - Inside Corner,TapeTech,85.43,85.00,Al's Taping Tools,TapeTech 90 Inside Corner Mud Applicator,TapeTech,16TT90,,,https://www.alstapingtools.com/tapetech-90-inside-corner-mud-applicator/,85.00,85.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-0.43,-0.50
17TT,TapeTech Corner Roller - Outside Corner,TapeTech,170.00,170.00,Al's Taping Tools,TapeTech Outside Corner Bead Roller - 17TT,TapeTech,17TT,,,https://www.alstapingtools.com/tapetech-outside-corner-bead-roller-17tt/,170.00,170.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
17TTE,TapeTech Corner Roller - Flex Tape Outside Corner,TapeTech,184.06,179.00,Al's Taping Tools,TapeTech Outside Corner Roller (for Flex Tape) - 17TTE,TapeTech,17TTE,,,https://www.alstapingtools.com/tapetech-outside-corner-roller-for-flex-tape-17tte/,179.00,179.00,,USD,,,competitor_sku_to_mpn_exact,98.0,-5.06,-2.75
40XTT,"TapeTech Corner Finisher - 2""",TapeTech,389.00,389.00,Al's Taping Tools,"TapeTech 2"" Angle Head Drywall Corner Finisher - 40XTT",TapeTech,40XTT,,,https://www.alstapingtools.com/tapetech-2-angle-head-drywall-corner-finisher-40xtt/,389.00,389.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
42TT,"TapeTech Corner Finisher - 2.5""",TapeTech,399.00,399.00,Al's Taping Tools,"TapeTech 2.5"" EasyRoll Angle Head Drywall Finishing Tool - 42TT",TapeTech,42TT,,,https://www.alstapingtools.com/tapetech-2-5-easyroll-angle-head-drywall-finishing-tool-42tt/,399.00,399.00,,USD,,,competitor_sku_to_mpn_exact,98.0,0.00,0.00
