sku,field,before,after,protected_field
COBCR,Categories,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,false
COBCR,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
COBCR,Meta: _dtb_category_key,corner,automatic_taping_tools,false
COBCR,Meta: _dtb_display_category_key,corner_tools,automatic_corner_rollers,false
COBCR,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Corner+Rollers&amp;schematic=columbia-standard-outside-corner-roller,/schematics?brand=columbia-taping-tools&category=Corner+Rollers&schematic=columbia-standard-outside-corner-roller,false
COBCRE,Categories,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,false
COBCRE,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
COBCRE,Meta: _dtb_category_key,corner,automatic_taping_tools,false
COBCRE,Meta: _dtb_display_category_key,corner_tools,automatic_corner_rollers,false
COBCRW,Categories,Drywall Finishing Tools > Automatic Taping Tools > Corner Rollers,Taping & Finishing Tools > Automatic Taping Tools > Corner Rollers,false
COBCRW,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
COBCRW,Meta: _dtb_category_key,corner,automatic_taping_tools,false
COBCRW,Meta: _dtb_display_category_key,corner_tools,automatic_corner_rollers,false
COL-180-GRIP-FLAT-BOX-HANDLE,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Box Handles,Taping & Finishing Tools > Automatic Taping Tools > Handles & Extensions,false
COL-180-GRIP-FLAT-BOX-HANDLE,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
COL-180-GRIP-FLAT-BOX-HANDLE,Meta: _dtb_category_key,handles,automatic_taping_tools,false
COL-180-GRIP-FLAT-BOX-HANDLE,Meta: _dtb_display_category_key,handles,automatic_handles_extensions,false
COL-180-GRIP-FLAT-BOX-HANDLE,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Handles&amp;schematic=columbia-flat-box-handle,/schematics?brand=columbia-taping-tools&category=Handles&schematic=columbia-flat-box-handle,false
COL-ANGLE-HEAD,Categories,Drywall Finishing Tools > Automatic Taping Tools > Angle Heads,Taping & Finishing Tools > Automatic Taping Tools > Angle Heads & Corner Finishers,false
COL-ANGLE-HEAD,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
COL-ANGLE-HEAD,Meta: _dtb_category_key,corner,automatic_taping_tools,false
COL-ANGLE-HEAD,Meta: _dtb_display_category_key,corner_tools,automatic_angle_heads_corner_finishers,false
COL-ANGLE-HEAD,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Angleheads&amp;schematic=columbia-angle-head,/schematics?brand=columbia-taping-tools&category=Angleheads&schematic=columbia-angle-head,false
COL-AUTOMATIC-FAT-BOY-BOX,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
COL-AUTOMATIC-FAT-BOY-BOX,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
COL-AUTOMATIC-FAT-BOY-BOX,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
COL-AUTOMATIC-FAT-BOY-BOX,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
COL-AUTOMATIC-FAT-BOY-BOX,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-fat-boy-box,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-fat-boy-box,false
COL-AUTOMATIC-FLAT-BOX,Categories,Drywall Finishing Tools > Automatic Taping Tools > Flat Boxes,Taping & Finishing Tools > Automatic Taping Tools > Flat Boxes,false
COL-AUTOMATIC-FLAT-BOX,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
COL-AUTOMATIC-FLAT-BOX,Meta: _dtb_category_key,finishing,automatic_taping_tools,false
COL-AUTOMATIC-FLAT-BOX,Meta: _dtb_display_category_key,finishing_boxes,flat_boxes,false
COL-AUTOMATIC-FLAT-BOX,Meta: _dtb_schematic_url,/schematics?brand=columbia-taping-tools&amp;category=Finishing+Boxes&amp;schematic=columbia-automatic-flat-box,/schematics?brand=columbia-taping-tools&category=Finishing+Boxes&schematic=columbia-automatic-flat-box,false
COL-AUTOMATIC-TAPER,Categories,Drywall Finishing Tools > Automatic Taping Tools > Automatic Tapers,Taping & Finishing Tools > Automatic Taping Tools > Automatic Tapers,false
COL-AUTOMATIC-TAPER,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
COL-AUTOMATIC-TAPER,Meta: _dtb_category_key,taping,automatic_taping_tools,false
COL-BILLET-MUD-APPLICATOR,Categories,Drywall Finishing Tools > Semi-Automatic Tools > Compound Applicators,Taping & Finishing Tools > Semi-Automatic Taping Tools > Compound Applicators,false
COL-BILLET-MUD-APPLICATOR,Meta: _dtb_commerce_mode,standard-catalog,purchasable,false
COL-BILLET-MUD-APPLICATOR,Meta: _dtb_category_key,corner,semi_automatic_taping_tools,false
COL-BILLET-MUD-APPLICATOR,Meta: _dtb_display_category_key,corner_tools,semi_compound_applicators,false
