sku,name,type,brand,categories,regular_price,sale_price,effective_price,cogs,map_price,gross_profit,current_gross_margin_pct,regular_gross_margin_pct,current_markup_pct,map_gross_margin_pct,comparison_target_margin_pct,target_margin_price,allowable_cost_at_current_price,cost_gap_vs_target,map_violation
MH,"Columbia Matrix Flat Box Handle - 40""-60""",variation,Columbia Tools,(Uncategorized),409.00,,409.00,232.76,351.49,176.24,43.09,43.09,75.72,33.78,30.00,332.52,286.30,-53.54,0
MHL,"Columbia Matrix Flat Box Handle - 56""-76""",variation,Columbia Tools,(Uncategorized),495.00,,495.00,256.15,373.12,238.85,48.25,48.25,93.25,31.35,30.00,365.93,346.50,-90.35,0
2NS,"Columbia Nail Spotter - 2""",variation,Columbia Tools,(Uncategorized),324.00,,324.00,189.80,297.41,134.20,41.42,41.42,70.71,36.18,30.00,271.15,226.80,-37.00,0
3NS,"Columbia Nail Spotter - 3""",variation,Columbia Tools,(Uncategorized),324.00,,324.00,198.35,308.23,125.65,38.78,38.78,63.35,35.65,30.00,283.36,226.80,-28.45,0
C1HEXT,Columbia One Handle - Extendable 3'-5',variation,Columbia Tools,(Uncategorized),135.19,,135.19,92.10,135.19,43.09,31.87,31.87,46.79,31.87,30.00,131.58,94.63,-2.53,0
CHXL,Columbia One Handle - Long Extendable 4'-8',variation,Columbia Tools,(Uncategorized),173.04,,173.04,118.65,173.04,54.39,31.43,31.43,45.84,31.43,30.00,169.50,121.13,-2.48,0
C1HS,Columbia One Handle - Stubby,variation,Columbia Tools,(Uncategorized),49.44,,49.44,,49.44,,,,,,30.00,,34.61,,0
C1H,Columbia One Handle - Fixed,variation,Columbia Tools,(Uncategorized),64.89,,64.89,27.90,64.89,36.99,57.00,57.00,132.58,57.00,30.00,39.86,45.42,-17.52,0
COBCR,Columbia Outside Corner Roller - Standard,variation,Columbia Tools,(Uncategorized),86.52,,86.52,52.97,86.52,33.55,38.78,38.78,63.34,38.78,30.00,75.68,60.56,-7.59,0
CBNCR,Columbia Outside Corner Roller - Bullnose,variation,Columbia Tools,(Uncategorized),86.52,,86.52,55.12,86.52,31.40,36.29,36.29,56.97,36.29,30.00,78.75,60.56,-5.44,0
COBCRE,Columbia Outside Corner Roller - European,variation,Columbia Tools,(Uncategorized),1.00,,1.00,,,,,,,,30.00,,0.70,,0
COBCRW,Columbia Outside Corner Roller - Wide,variation,Columbia Tools,(Uncategorized),86.52,,86.52,55.12,86.52,31.40,36.29,36.29,56.97,36.29,30.00,78.75,60.56,-5.44,0
