catalog_sku,catalog_product_name,catalog_product_type,csr_source_rows,csr_sale_price_usd,old_sale_price,new_sale_price,old_regular_price,new_regular_price,status,applied_at
FFB36,Box Wheel,simple,1,5.00,5.00,5.00,5.50,5.50,ALREADY_CURRENT,2026-09-17T09:17:51Z
FFB37,Rubber for Box Wheel,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FFB38,Nyliner Bearing,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FFB39,Hex Bolt,simple,1,3.00,3.00,3.00,3.30,3.30,ALREADY_CURRENT,2026-09-17T09:17:51Z
FFB4A,Stainless Steel Washer,simple,1,5.00,6.1,5.00,6.71,5.50,UPDATED,2026-09-17T09:17:51Z
FFB4B,Stainless Steel Backing Washer,simple,1,4.00,5.2,4.00,5.72,4.40,UPDATED,2026-09-17T09:17:51Z
FFB5,Axle,variable,5,43.00,,43.00,,47.30,UPDATED,2026-09-17T09:17:51Z
FFB5A,Axel Bushing,simple,1,3.00,3.78,3.00,4.16,3.30,UPDATED,2026-09-17T09:17:51Z
FFB7,Shoe - Right,variation,1,3.00,42.95,3.00,47.25,3.30,UPDATED,2026-09-17T09:17:51Z
FFB7A,Shoe - Left,variation,1,3.00,42.95,3.00,47.25,3.30,UPDATED,2026-09-17T09:17:51Z
FFB8,Bar Retainer Clip,simple,1,2.00,2.00,2.00,2.20,2.20,ALREADY_CURRENT,2026-09-17T09:17:51Z
FFB9,Blade,variable,6,3.00,,3.00,,3.30,UPDATED,2026-09-17T09:17:51Z
HFFB14,Flat Box Hinged Door Gasket,variable,4,42.00,,42.00,,46.20,UPDATED,2026-09-17T09:17:51Z
HFFB3,Hinge Box End Plate - Right,variation,1,36.00,36.00,36.00,39.60,39.60,ALREADY_CURRENT,2026-09-17T09:17:51Z
