part_key,canonical_name,part_type,brand,occurrence_count,catalog_skus,example_titles
set screw 6-32 x 1/4,set screw 6-32 x 1/4,set screw,Columbia,5,FAS26,6 - 32 x 1/4 Set Screw; 6-32 x 1/4 Set Screw (FA S26)
set screw 6-32 x 1/8 socket head,set screw 6-32 x 1/8 socket head,set screw,Asgard,2,,489013 - 6-32x1/8 Socket Hd Setscrew
set screw 6-32 x 3/16,set screw 6-32 x 3/16,set screw,TapeTech,2,,6-32 X 3/16 Hex Soc Setscrew Cup Pt 18-8
set screw 6-32 x 3/8,set screw 6-32 x 3/8,set screw,Columbia,15,,6-32 x 3/8 Set Screw (FA272)
set screw 8-32 x 3/16,set screw 8-32 x 3/16,set screw,Columbia,7,FA249; FAZ6S,"8 - 32 x 3/16"" Set Screw; Predator Taper 8 - 32 x 3/16 Set Screw; Predator Taper 8-32 x 3/16 Set Screw (FAZ6S)"
set screw 8-32 x 3/16 socket head,set screw 8-32 x 3/16 socket head,set screw,Columbia,6,,"8-32 x 3/16"" Socket Head Set Screw (FA249)"
set screw 8-32 x 3/4,set screw 8-32 x 3/4,set screw,TapeTech,2,,8-32 x 3/4 Hex Soc Set Screw
set screw 8-32 x 3/8,set screw 8-32 x 3/8,set screw,Asgard,1,,199010 - 8-32 X 3/8 Set Screw Fl. Point Hex. Soc.
set screw 8-32 x 5/16,set screw 8-32 x 5/16,set screw,Level5,1,,8-32 x 5/16 Setscrew
spring 1/2 tension,spring 1/2 tension,spring,Columbia,3,,Frame Tension Spring 2-1/2 in (AH7-2.5)
spring 1/8 x 3/4,spring 1/8 x 3/4,spring,TapeTech,2,,Slotted Spring Pin 1/8 X 3/4 Sst.
spring 15 x 3.5 tension,spring 15 x 3.5 tension,spring,Columbia,5,CF1535,Corner Flusher Tension Spring 15 x 3.5 in (CF15 - 3.5); Corner Flusher Tension Spring 15 x 3.5 in (CF15-3.5)
spring 2 retainer,spring 2 retainer,spring,TapeTech,1,,"RETAINER SPRING (2"" CORNER FINISHER HEAD)"
spring 3.5,spring 3.5,spring,Level5,1,,CF 3.5in Spring (Big)
spring 3.5 tension,spring 3.5 tension,spring,Columbia,13,CF53S,"Tension Spring 3.5"" - Flusher (CF5 - 3.5); Tension Spring 3.5"" - Flusher (CF5-3.5)"
spring 4800 retainer,spring 4800 retainer,spring,TapeTech,2,402002F,4800 Spring Retainer
spring 5/32 x 1,spring 5/32 x 1,spring,TapeTech,2,,5/32 X 1'' Spring Pin. 18-8 S.S.
spring 5/32 x 7/8,spring 5/32 x 7/8,spring,Asgard,1,,889057 - 5/32 X 7/8 Spring Pin. 18-8 S.S.
spring 7,spring 7,spring,Columbia,8,FFB11,"Adjuster Spring (7,8,10)"
washer #10 belleville,washer #10 belleville,washer,Columbia,19,FA280,#10 Belleville Washer; #10 Belleville Washer (FA280)
washer #4 nylon flat,washer #4 nylon flat,washer,TapeTech,2,219095,#4 NYLON FLAT WASHER
washer #6,washer #6,washer,TapeTech,6,,#6 Ext. Washer
washer #6 belleville,washer #6 belleville,washer,Columbia,17,FA221,#6 Belleville Washer; #6 Belleville Washer (FA221)
washer #6 star,washer #6 star,washer,Columbia,14,FA230,#6 Star Washer; #6 Star Washer (FA230); #6 Star Washer (FA227)
