sku,taxon_key,position,evidence,review_status
FA286,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA288,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA291,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA299,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA313,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA301,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA300,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA294,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA297,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA298,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA302,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA320,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
HFFB14,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FFB25,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
AH3,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA380,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA225,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA224,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA271,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA272,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA273,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA312,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA274,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA275,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA276,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA316,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA382,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA199,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA365,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA206,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA207,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA219,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA213,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA214,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA2,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA210,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA212,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA220,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA218,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA216,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA215,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA303,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA307,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA305,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA306,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
CFB10,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA317,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA232,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA234,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA233,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA245,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA244,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FFB11,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA239,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA227,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA236,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA235,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA237,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA238,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA241,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA243,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA231,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA247,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA254,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA267,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA262,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA257,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA256,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA265,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA260,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA261,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA376,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA264,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA258,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FA249,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FFB5,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FFB9,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
HNS7,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FFB5A,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
MP32,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FFB8,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
CT103,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
CT125A,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
BH24A,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
CFB16,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
CR-3,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
HNS8,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
AH9-CLIP,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
BH9,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
HH16A,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
HH10B,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
CFB8,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
FFB36,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
CT87A,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
HH7,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
MH9A,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
CT16,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
HH13,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
HH14,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
MH8,replacement_parts,10,approved migration from exact path: Replacement Parts,approved
