sku,type,parent_sku,gallery_position,filename,url,mapping_reason
COL-BOX-FILLER,variable,,3,columbia_tools_tbbf_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_02.webp,wc_export_order_preserved
COL-BOX-FILLER,variable,,4,columbia_tools_tbbf_03.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_03.webp,wc_export_order_preserved
COL-BOX-FILLER,variable,,5,columbia_tools_tbbf_04.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_04.webp,wc_export_order_preserved
COL-BOX-FILLER,variable,,6,columbia_tools_tbbf_05.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_05.webp,wc_export_order_preserved
COL-BOX-FILLER,variable,,7,columbia_tools_tbbf_06.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_06.webp,wc_export_order_preserved
COL-BOX-FILLER,variable,,8,columbia_tools_tbbf_07.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_07.webp,wc_export_order_preserved
COL-BOX-FILLER,variable,,9,columbia_tools_compound_tube_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_compound_tube_01.webp,wc_export_order_preserved
COL-CAM-LOCK-TUBE,variable,,1,columbia_tools_clt_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_clt_01.webp,wc_export_order_preserved
COL-CAM-LOCK-TUBE,variable,,2,columbia_tools_compound_tube_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_compound_tube_01.webp,wc_export_order_preserved
COL-CAM-LOCK-TUBE,variable,,3,columbia_tools_clt24_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_clt24_01.webp,wc_export_order_preserved
COL-COMBO-FLUSHER,variable,,1,columbia_tools_3csf_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_3csf_01.webp,wc_export_order_preserved
COL-COMBO-FLUSHER,variable,,2,columbia_tools_3wtdf_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_3wtdf_01.webp,wc_export_order_preserved
COL-COMBO-FLUSHER,variable,,3,columbia_tools_2_5csf_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_2_5csf_01.webp,wc_export_order_preserved
BF,variation,COL-BOX-FILLER,1,columbia_tools_bf_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_bf_01.webp,wc_export_order_preserved
TBBF,variation,COL-BOX-FILLER,1,columbia_tools_tbbf_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_01.webp,wc_export_order_preserved
TBBF,variation,COL-BOX-FILLER,2,columbia_tools_tbbf_02.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_02.webp,optimized_append
TBBF,variation,COL-BOX-FILLER,3,columbia_tools_tbbf_03.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_03.webp,optimized_append
TBBF,variation,COL-BOX-FILLER,4,columbia_tools_tbbf_04.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_04.webp,optimized_append
TBBF,variation,COL-BOX-FILLER,5,columbia_tools_tbbf_05.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_05.webp,optimized_append
TBBF,variation,COL-BOX-FILLER,6,columbia_tools_tbbf_06.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_06.webp,optimized_append
TBBF,variation,COL-BOX-FILLER,7,columbia_tools_tbbf_07.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_07.webp,optimized_append
TBBF,variation,COL-BOX-FILLER,8,columbia_tools_tbbf_08.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_08.webp,optimized_append
TBBF,variation,COL-BOX-FILLER,9,columbia_tools_tbbf_09.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_tbbf_09.webp,optimized_append
CLT24,variation,COL-CAM-LOCK-TUBE,1,columbia_tools_clt24_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_clt24_01.webp,wc_export_order_preserved
CLT32,variation,COL-CAM-LOCK-TUBE,1,columbia_tools_clt24_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_clt24_01.webp,wc_export_order_preserved
CLT32,variation,COL-CAM-LOCK-TUBE,2,columbia_tools_clt_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_clt_01.webp,optimized_append
CLT32,variation,COL-CAM-LOCK-TUBE,3,columbia_tools_compound_tube_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_compound_tube_01.webp,optimized_append
CLT42,variation,COL-CAM-LOCK-TUBE,1,columbia_tools_clt24_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_clt24_01.webp,wc_export_order_preserved
CLT42,variation,COL-CAM-LOCK-TUBE,2,columbia_tools_clt_01.webp,https://elliottm4.sg-host.com/wp/wp-content/uploads/2026/media/columbia_tools_clt_01.webp,optimized_append
