sku,name,type,brand,product_kind,category_key,display_category_key,finding,workflow,field,current_value
BH26,Cam,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
BH7,Cam Follower,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
HH19,Cap,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT35,Cap Reinforcing Tab,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT55,Carriage Guide Rod,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT56,Carriage Guide Rod Stop,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT31,Chain Tension & Guide Bracket,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT83,Clutch Dog,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT82,Clutch Lever,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT88,Clutch Release Rod,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT85,Clutch Release Shaft,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT81,Clutch Return Spring,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
HH9,Coiled Hydraulic Line,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
HP44,Collar O-Ring,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
AHA,Angle Head Adapter,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
CT86,CT86 – Toe Kicker Cable,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA259,"FA259 8-32 X 5/16"" Binder Slot",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA292,FA292 1/4-20 Nyloc Jam Nut,simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
HNS4,Door,variable,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA311,"FA311 1/4-28 X 1/2"" Socket Head",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
FA315,"FA315 10-32 X 3/8"" Flat Socket Head",simple,Columbia Tools,part,parts,parts,part_family_without_compatibility_or_replacement,compatibility_research,Meta: _dtb_compatible_tool_skus,
